model,train_dataset,test_dataset,lan,pairs,threshold,precision,recall,f1,mcc,TP,TN,FP,FN
microsoft/codebert-base,Kamino,SemanticCloneBench,python,2000,0.5,0.946360153256705,0.741,0.8311833987661245,0.716062623931051,741,958,42,259
microsoft/codebert-base,Kamino,SemanticCloneBench,java,1992,0.5,0.9603825136612022,0.7058232931726908,0.8136574074074074,0.7018092426208252,703,967,29,293
microsoft/codebert-base,Kamino,SemanticCloneBench,csharp,1870,0.5,0.9865470852017936,0.7058823529411765,0.8229426433915213,0.7262671919357303,660,926,9,275
microsoft/codebert-base,Kamino,GPTCloneBench,python,5640,0.5,0.9376375641966253,0.9063829787234042,0.9217454020915976,0.8465697380173709,2556,2650,170,264
microsoft/codebert-base,Kamino,GPTCloneBench,java,14192,0.5,0.932601880877743,0.9223506200676438,0.9274479240470456,0.8557450482422938,6545,6623,473,551
microsoft/codebert-base,Kamino,GPTCloneBench,csharp,9816,0.5,0.986993603411514,0.9431540342298288,0.964575953323609,0.9316448186078948,4629,4847,61,279
Salesforce/codet5-base,Kamino,SemanticCloneBench,python,2000,0.5,0.8685344827586207,0.806,0.8360995850622407,0.6857798510581543,806,878,122,194
Salesforce/codet5-base,Kamino,SemanticCloneBench,java,1992,0.5,0.9121019108280256,0.7188755020080321,0.8040426726558114,0.6646849068254909,716,927,69,280
Salesforce/codet5-base,Kamino,SemanticCloneBench,csharp,1870,0.5,0.9556786703601108,0.7379679144385026,0.8328304164152082,0.7227470884254353,690,903,32,245
Salesforce/codet5-base,Kamino,GPTCloneBench,python,5640,0.5,0.8467874794069192,0.9113475177304964,0.8778821520068316,0.7486328648511063,2570,2355,465,250
Salesforce/codet5-base,Kamino,GPTCloneBench,java,14192,0.5,0.8964900206469374,0.9178410372040586,0.9070398997284312,0.8120961883466671,6513,6344,752,583
Salesforce/codet5-base,Kamino,GPTCloneBench,csharp,9816,0.5,0.9692754826655596,0.9513039934800326,0.9602056555269924,0.9213075188889268,4669,4760,148,239
