model,train_dataset,test_dataset,lan,pairs,threshold,precision,recall,f1,mcc,TP,TN,FP,FN
microsoft/codebert-base-default,-,GPTCloneBench,python,5640,0.7,0.5,1.0,0.6666666666666666,0.0,2820,0,2820,0
microsoft/codebert-base-default,-,GPTCloneBench,java,14192,0.7,0.4998586572438162,0.9967587373167982,0.6658194483667513,-0.0051886828530258,7073,19,7077,23
microsoft/codebert-base-default,-,GPTCloneBench,csharp,9816,0.7,0.4998468293679158,0.9973512632436836,0.665941092442691,-0.0063211989524031,4895,10,4898,13
microsoft/codebert-base-default,-,Kamino,python,18072,0.7,0.5285901874179301,0.9800796812749004,0.6867778208607989,0.2038677587176995,8856,1138,7898,180
microsoft/codebert-base-default,-,SemanticCloneBench,python,2000,0.7,0.5020080321285141,1.0,0.6684491978609626,0.0633724250524477,1000,8,992,0
microsoft/codebert-base-default,-,SemanticCloneBench,java,1992,0.7,0.4997483643683945,0.9969879518072288,0.6657727120348642,-0.0100326593006128,993,2,994,3
microsoft/codebert-base-default,-,SemanticCloneBench,csharp,1870,0.7,0.4997321906802356,0.9978609625668448,0.6659528907922913,-0.0133618691248474,933,1,934,2
Salesforce/codet5-base-default,-,GPTCloneBench,python,5640,0.7,0.5978736710444027,0.6780141843971631,0.635427052176803,0.2240073527403355,1912,1534,1286,908
Salesforce/codet5-base-default,-,GPTCloneBench,java,14192,0.7,0.6480232558139535,0.7853720405862458,0.7101172273190622,0.3671348337595195,5573,4069,3027,1523
Salesforce/codet5-base-default,-,GPTCloneBench,csharp,9816,0.7,0.6901907816984636,0.8329258353708231,0.754870279752562,0.4691893261457935,4088,3073,1835,820
Salesforce/codet5-base-default,-,Kamino,python,18072,0.7,0.5752276867030965,0.8737273129703409,0.6937305039321647,0.2673431490566897,7895,3206,5830,1141
Salesforce/codet5-base-default,-,SemanticCloneBench,python,2000,0.7,0.663059163059163,0.919,0.7703269069572505,0.4899735474570312,919,533,467,81
Salesforce/codet5-base-default,-,SemanticCloneBench,java,1992,0.7,0.6381025248661056,0.8373493975903614,0.7242726877985237,0.3815259850968592,834,523,473,162
Salesforce/codet5-base-default,-,SemanticCloneBench,csharp,1870,0.7,0.6237314597970336,0.8545454545454545,0.7211191335740071,0.364944690814489,799,453,482,136
microsoft/codebert-base,Kamino,GPTCloneBench,python,5640,0.7,0.979758828596038,0.8067375886524822,0.8848697005056397,0.8026863689755191,2275,2773,47,545
microsoft/codebert-base,Kamino,GPTCloneBench,java,14192,0.7,0.9728566699768288,0.8283540022547914,0.8948089511341146,0.814274943730397,5878,6932,164,1218
microsoft/codebert-base,Kamino,GPTCloneBench,csharp,9816,0.7,0.9944623904014768,0.8781581092094539,0.9326985500973816,0.8793022766435844,4310,4884,24,598
microsoft/codebert-base,GPTCloneBench,Kamino,python,18072,0.7,0.9228553537883531,0.8155157149181054,0.8658715704130191,0.7524510959233631,7369,8420,616,1667
microsoft/codebert-base,SemanticCloneBench,Kamino,python,18072,0.7,0.9132184630864042,0.8035635236830456,0.8548890327897805,0.7325021066317091,7261,8346,690,1775
microsoft/codebert-base,Kamino,SemanticCloneBench,python,2000,0.7,0.9732441471571908,0.582,0.7284105131414269,0.6181470946769781,582,984,16,418
microsoft/codebert-base,Kamino,SemanticCloneBench,java,1992,0.7,0.9799635701275046,0.5401606425702812,0.6964401294498382,0.5920948415549434,538,985,11,458
microsoft/codebert-base,Kamino,SemanticCloneBench,csharp,1870,0.7,0.9980353634577604,0.5433155080213904,0.703601108033241,0.60914404873829,508,934,1,427
Salesforce/codet5-base,GPTCloneBench,Kamino,python,18072,0.7,0.912874651134571,0.8325586542718016,0.8708687850900041,0.7560305141539999,7523,8318,718,1513
Salesforce/codet5-base,SemanticCloneBench,Kamino,python,18072,0.7,0.8959259704362457,0.8250332005312085,0.8590194157976611,0.7314879366169661,7455,8170,866,1581
Salesforce/codet5-base,Kamino,GPTCloneBench,python,5640,0.7,0.926583299717628,0.8145390070921986,0.866956029439517,0.7555441728259769,2297,2638,182,523
Salesforce/codet5-base,Kamino,GPTCloneBench,java,14192,0.7,0.9556267926438332,0.798196166854566,0.8698456576825616,0.7716765175957304,5664,6833,263,1432
Salesforce/codet5-base,Kamino,GPTCloneBench,csharp,9816,0.7,0.9911812485495476,0.8702118989405053,0.926765758923728,0.8689653978028248,4271,4870,38,637
Salesforce/codet5-base,Kamino,SemanticCloneBench,python,2000,0.7,0.9419889502762432,0.682,0.7911832946635731,0.6658637214737823,682,958,42,318
Salesforce/codet5-base,Kamino,SemanticCloneBench,java,1992,0.7,0.9786096256684492,0.5512048192771084,0.7052023121387283,0.5993396890500912,549,984,12,447
Salesforce/codet5-base,Kamino,SemanticCloneBench,csharp,1870,0.7,0.9871559633027523,0.5754010695187166,0.7270270270270269,0.6248680663933232,538,928,7,397
